440,441,442,443,444,444,443,442,441,440
448,450,452,454,455,455,454,452,450,448
0,0,0,0,0,0,0,0,0,0
440,441,442,443,444,444,443,442,441,440
447,449,451,453,454,454,453,451,449,447
1,1,1,1,1,1,1,1,1,1
439,441,443,444,445,445,444,443,441,439
447,449,451,453,454,454,453,451,449,447
2,2,2,2,2,2,2,2,2,2
439,441,443,445,446,446,445,443,441,439
446,449,452,454,455,455,454,452,449,446
3,3,3,3,3,3,3,3,3,3
439,441,443,444,445,445,444,443,441,439
446,449,452,454,455,455,454,452,449,446
4,4,4,4,4,4,4,4,4,4
439,441,443,444,445,445,444,443,441,439
446,449,452,454,455,455,454,452,449,446
5,5,5,5,5,5,5,5,5,5
438,440,442,444,445,445,444,442,440,438
444,448,451,453,454,454,453,451,448,444
6,6,6,6,6,6,6,6,6,6
438,440,442,443,444,444,443,442,440,438
445,448,451,453,454,454,453,451,448,445
7,7,7,7,7,7,7,7,7,7
437,439,441,443,445,446,446,445,443,441
444,447,450,453,455,456,456,455,453,450
8,8,8,8,8,8,8,8,8,8
438,438,439,440,441,442,443,444,445,446
443,444,445,447,449,451,453,454,455,456
9,9,9,9,9,9,9,9,9,9
