584,584,584,583,582,580,577,573,570,568
376,383,390,397,403,409,415,421,427,433
0,0,0,0,0,0,0,0,0,0
586,585,584,583,582,580,577,573,570,568
376,382,388,394,400,407,414,420,426,432
1,1,1,1,1,1,1,1,1,1
585,584,583,582,580,578,575,572,570,568
377,384,391,398,405,411,416,421,426,431
2,2,2,2,2,2,2,2,2,2
585,584,583,582,581,579,576,573,570,568
377,383,389,395,401,407,413,419,424,430
3,3,3,3,3,3,3,3,3,3
585,584,583,582,581,579,576,573,570,567
376,382,388,394,400,406,412,418,423,429
4,4,4,4,4,4,4,4,4,4
584,584,583,582,580,578,575,572,569,567
375,382,389,396,402,408,414,419,424,429
5,5,5,5,5,5,5,5,5,5
582,583,583,582,580,578,575,572,569,567
373,380,387,394,401,407,413,418,423,428
6,6,6,6,6,6,6,6,6,6
577,581,583,583,582,580,577,574,570,566
363,371,379,386,393,400,407,414,420,427
7,7,7,7,7,7,7,7,7,7
572,576,580,583,582,580,577,573,569,566
354,362,370,379,388,397,406,414,421,429
8,8,8,8,8,8,8,8,8,8
583,583,583,583,582,580,578,575,571,567
352,362,372,381,389,396,403,410,417,424
9,9,9,9,9,9,9,9,9,9
