754,753,752,751,751,751,751,752,753,754
199,198,197,196,195,195,196,197,198,199
0,0,0,0,0,0,0,0,0,0
750,751,752,753,753,753,753,752,751,750
196,196,196,196,196,196,196,196,196,196
1,1,1,1,1,1,1,1,1,1
750,751,752,753,753,753,753,752,751,750
193,194,195,196,196,196,196,195,194,193
2,2,2,2,2,2,2,2,2,2
753,752,751,750,749,749,749,750,751,752
195,194,194,194,194,194,194,194,194,194
3,3,3,3,3,3,3,3,3,3
753,752,751,750,750,750,750,751,752,753
196,195,194,193,192,192,193,194,195,196
4,4,4,4,4,4,4,4,4,4
750,750,750,750,750,750,750,750,750,750
192,193,194,195,195,195,195,194,193,192
5,5,5,5,5,5,5,5,5,5
750,750,751,751,751,751,751,751,751,750
195,194,193,192,191,191,191,192,193,194
6,6,6,6,6,6,6,6,6,6
753,752,751,750,749,749,750,751,752,753
195,194,193,193,193,193,193,193,194,195
7,7,7,7,7,7,7,7,7,7
753,751,749,748,748,748,748,749,751,753
193,192,191,190,190,190,190,191,192,193
8,8,8,8,8,8,8,8,8,8
748,749,750,751,751,751,751,750,749,748
191,192,193,193,193,193,193,193,192,191
9,9,9,9,9,9,9,9,9,9
