86,85,84,84,84,84,84,84,85,86
440,442,444,445,445,445,445,444,442,440
0,0,0,0,0,0,0,0,0,0
85,85,85,85,85,85,85,85,85,85
441,442,443,444,445,445,444,443,442,441
1,1,1,1,1,1,1,1,1,1
86,86,86,86,86,86,86,86,86,86
438,440,442,443,444,444,443,442,440,438
2,2,2,2,2,2,2,2,2,2
88,87,86,85,85,85,85,86,87,88
435,437,439,441,442,442,441,439,437,435
3,3,3,3,3,3,3,3,3,3
101,98,95,92,89,87,86,85,85,85
431,432,433,434,435,436,437,439,442,445
4,4,4,4,4,4,4,4,4,4
76,77,79,81,83,84,85,85,84,83
415,418,421,424,427,430,433,437,441,445
5,5,5,5,5,5,5,5,5,5
75,77,79,81,82,83,84,84,84,84
415,418,421,424,427,430,434,438,442,446
6,6,6,6,6,6,6,6,6,6
76,78,80,82,83,84,84,84,84,84
415,419,423,426,429,432,435,438,441,444
7,7,7,7,7,7,7,7,7,7
77,79,80,81,82,83,84,84,84,83
417,420,423,426,429,432,435,438,441,444
8,8,8,8,8,8,8,8,8,8
75,77,79,81,82,83,83,83,83,84
415,419,422,425,428,431,433,435,437,439
9,9,9,9,9,9,9,9,9,9
