922,922,922,922,922,922,922,922,922,922
519,520,521,522,523,523,522,521,520,519
0,0,0,0,0,0,0,0,0,0
921,922,923,924,925,925,924,923,922,921
518,520,522,523,524,524,523,522,520,518
1,1,1,1,1,1,1,1,1,1
922,922,922,922,922,922,922,922,922,922
518,520,522,523,523,522,521,520,519,518
2,2,2,2,2,2,2,2,2,2
921,922,922,922,922,922,922,922,922,922
517,519,521,523,524,524,523,522,520,518
3,3,3,3,3,3,3,3,3,3
921,922,922,922,922,922,922,922,923,924
518,520,522,523,523,522,521,520,519,518
4,4,4,4,4,4,4,4,4,4
922,922,922,922,922,922,922,922,922,922
518,519,520,521,522,522,521,520,519,518
5,5,5,5,5,5,5,5,5,5
