94,96,98,99,100,101,102,103,104,105
435,434,433,433,433,433,433,433,433,433
0,0,0,0,0,0,0,0,0,0
104,101,98,95,93,93,95,98,101,104
431,432,433,434,435,435,434,433,432,431
1,1,1,1,1,1,1,1,1,1
103,100,97,95,94,94,95,97,100,103
431,432,433,434,434,434,434,433,432,431
2,2,2,2,2,2,2,2,2,2
104,100,96,93,92,92,93,96,100,104
431,432,433,434,435,435,434,433,432,431
3,3,3,3,3,3,3,3,3,3
100,96,92,89,87,87,89,92,96,100
432,433,434,435,436,436,435,434,433,432
4,4,4,4,4,4,4,4,4,4
83,84,85,85,84,83,81,79,77,76
445,441,437,433,430,427,424,421,418,415
5,5,5,5,5,5,5,5,5,5
84,84,84,84,83,82,81,79,77,75
446,442,438,434,430,427,424,421,418,415
6,6,6,6,6,6,6,6,6,6
84,84,84,84,84,83,82,80,78,76
444,441,438,435,432,429,426,423,419,415
7,7,7,7,7,7,7,7,7,7
83,84,84,84,83,82,81,80,79,77
444,441,438,435,432,429,426,423,420,417
8,8,8,8,8,8,8,8,8,8
84,83,83,83,83,82,81,79,77,75
439,437,435,433,431,428,425,422,419,415
9,9,9,9,9,9,9,9,9,9
